epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,807.617,0.69674,0.62373,1,0.65834,0.000552172,0.000552172,0.000552172
2,1622.15,0.71029,0.52098,1,0.70279,0.00109687,0.00109687,0.00109687
3,2421.46,0.70736,0.58611,1,0.6811,0.00163057,0.00163057,0.00163057
4,3219.93,0.6991,0.589,1,0.66822,0.00161749,0.00161749,0.00161749
5,4022.29,0.69011,0.5919,1,0.65183,0.00160099,0.00160099,0.00160099
6,4825.04,0.68558,0.5369,1,0.68791,0.00158448,0.00158448,0.00158448
7,5622.18,0.67799,0.63097,1,0.64427,0.00156798,0.00156798,0.00156798
8,6418.47,0.67274,0.60926,1,0.65502,0.00155148,0.00155148,0.00155148
9,7218.75,0.67593,0.63821,1,0.65029,0.00153497,0.00153497,0.00153497
10,8017.1,0.66532,0.59913,1,0.65554,0.00151847,0.00151847,0.00151847
11,8820.2,0.66784,0.65123,1,0.63799,0.00150197,0.00150197,0.00150197
12,9611.3,0.65943,0.64689,1,0.61921,0.00148546,0.00148546,0.00148546
13,10408.3,0.66149,0.61071,1,0.65736,0.00146896,0.00146896,0.00146896
14,11207.4,0.66404,0.64255,1,0.62324,0.00145246,0.00145246,0.00145246
15,12002.6,0.65614,0.65268,1,0.61651,0.00143595,0.00143595,0.00143595
16,12799.2,0.6522,0.65412,1,0.62045,0.00141945,0.00141945,0.00141945
17,13598.8,0.64176,0.65557,1,0.62368,0.00140295,0.00140295,0.00140295
18,14402.6,0.64728,0.67728,1,0.60804,0.00138644,0.00138644,0.00138644
19,15204.7,0.65529,0.65847,1,0.62167,0.00136994,0.00136994,0.00136994
20,16009.2,0.64551,0.65123,1,0.62512,0.00135344,0.00135344,0.00135344
21,16806.8,0.63779,0.68741,1,0.58887,0.00133693,0.00133693,0.00133693
22,17620,0.63014,0.69754,1,0.58807,0.00132043,0.00132043,0.00132043
23,18418.7,0.63275,0.69465,1,0.58615,0.00130393,0.00130393,0.00130393
24,19218,0.64063,0.69465,1,0.59316,0.00128742,0.00128742,0.00128742
25,20026.1,0.62726,0.66715,1,0.59807,0.00127092,0.00127092,0.00127092
26,20828.3,0.63152,0.67004,1,0.60479,0.00125442,0.00125442,0.00125442
27,21641.9,0.62706,0.6657,1,0.60887,0.00123791,0.00123791,0.00123791
28,22445.6,0.61563,0.67294,1,0.59875,0.00122141,0.00122141,0.00122141
29,23246.1,0.62273,0.6686,1,0.58903,0.00120491,0.00120491,0.00120491
30,24040.3,0.62298,0.67294,1,0.58375,0.0011884,0.0011884,0.0011884
31,24843.8,0.60508,0.70622,1,0.56526,0.0011719,0.0011719,0.0011719
32,25644.5,0.62005,0.68017,1,0.59735,0.0011554,0.0011554,0.0011554
33,26443.1,0.6076,0.68452,1,0.58887,0.00113889,0.00113889,0.00113889
34,27248.3,0.60106,0.71635,1,0.54979,0.00112239,0.00112239,0.00112239
35,28040.6,0.60822,0.72504,1,0.55657,0.00110589,0.00110589,0.00110589
36,28846.1,0.59855,0.69175,1,0.56855,0.00108938,0.00108938,0.00108938
37,29645.6,0.58929,0.65412,1,0.62088,0.00107288,0.00107288,0.00107288
38,30450.5,0.58446,0.68596,1,0.58501,0.00105638,0.00105638,0.00105638
39,31245.9,0.60136,0.72793,1,0.56081,0.00103987,0.00103987,0.00103987
40,32056.8,0.59018,0.70912,1,0.56412,0.00102337,0.00102337,0.00102337
41,33045,0.58854,0.70478,1,0.54953,0.00100687,0.00100687,0.00100687
42,34590.5,0.58445,0.69899,1,0.56065,0.000990365,0.000990365,0.000990365
43,36386.3,0.58803,0.71056,1,0.55075,0.000973861,0.000973861,0.000973861
44,37771.8,0.58473,0.69609,1,0.59056,0.000957358,0.000957358,0.000957358
45,39126.4,0.56829,0.71201,1,0.55378,0.000940855,0.000940855,0.000940855
46,40318.8,0.57934,0.72504,1,0.55003,0.000924352,0.000924352,0.000924352
47,41267.9,0.57843,0.69754,1,0.57588,0.000907848,0.000907848,0.000907848
48,42183.1,0.56519,0.67873,1,0.58882,0.000891345,0.000891345,0.000891345
49,43070.7,0.57611,0.71346,1,0.56209,0.000874842,0.000874842,0.000874842
50,43994,0.58659,0.69609,1,0.55633,0.000858338,0.000858338,0.000858338
51,44796.8,0.56307,0.71346,1,0.56849,0.000841835,0.000841835,0.000841835
52,45598.1,0.55652,0.68162,1,0.59996,0.000825332,0.000825332,0.000825332
53,46405.2,0.56507,0.70188,1,0.57151,0.000808828,0.000808828,0.000808828
54,47190.7,0.55261,0.68162,1,0.5844,0.000792325,0.000792325,0.000792325
55,47998.2,0.55679,0.72214,1,0.57307,0.000775822,0.000775822,0.000775822
56,48808.9,0.53591,0.70622,1,0.56787,0.000759318,0.000759318,0.000759318
57,49611.4,0.53198,0.71925,1,0.59166,0.000742815,0.000742815,0.000742815
58,50422,0.53757,0.73227,1,0.5639,0.000726312,0.000726312,0.000726312
59,51221.8,0.54041,0.70622,1,0.5642,0.000709809,0.000709809,0.000709809
60,52037.6,0.53658,0.71056,1,0.57965,0.000693305,0.000693305,0.000693305
61,52855.6,0.51048,0.70043,1,0.58872,0.000676802,0.000676802,0.000676802
62,53660.3,0.53909,0.71056,1,0.58414,0.000660299,0.000660299,0.000660299
63,54469,0.53229,0.72359,1,0.58496,0.000643795,0.000643795,0.000643795
64,55275.4,0.53986,0.72938,1,0.5584,0.000627292,0.000627292,0.000627292
65,56081.9,0.51445,0.73517,1,0.58495,0.000610789,0.000610789,0.000610789
66,56873.7,0.50978,0.70188,1,0.59596,0.000594286,0.000594286,0.000594286
67,57681,0.51775,0.69609,1,0.59073,0.000577782,0.000577782,0.000577782
68,58472.4,0.50249,0.7178,1,0.57608,0.000561279,0.000561279,0.000561279
69,59335.8,0.50699,0.72504,1,0.59587,0.000544776,0.000544776,0.000544776
70,60174.4,0.49198,0.71925,1,0.59517,0.000528272,0.000528272,0.000528272
71,60986.4,0.48538,0.70912,1,0.5796,0.000511769,0.000511769,0.000511769
72,61793.5,0.48714,0.70767,1,0.59532,0.000495266,0.000495266,0.000495266
73,62604.5,0.47104,0.72793,1,0.60001,0.000478762,0.000478762,0.000478762
74,63521.9,0.49407,0.70478,1,0.60642,0.000462259,0.000462259,0.000462259
75,64370.3,0.47751,0.73227,1,0.60276,0.000445756,0.000445756,0.000445756
76,65175.9,0.47606,0.73082,1,0.58853,0.000429253,0.000429253,0.000429253
77,65961.6,0.47064,0.7178,1,0.60136,0.000412749,0.000412749,0.000412749
78,66765.1,0.47172,0.72793,1,0.61035,0.000396246,0.000396246,0.000396246
79,67571.1,0.44661,0.72069,1,0.61037,0.000379743,0.000379743,0.000379743
80,68380.6,0.46693,0.72359,1,0.60191,0.000363239,0.000363239,0.000363239
81,69183.1,0.45677,0.72648,1,0.60047,0.000346736,0.000346736,0.000346736
82,69994.8,0.43047,0.71056,1,0.6584,0.000330233,0.000330233,0.000330233
83,70800.4,0.45637,0.70188,1,0.63984,0.000313729,0.000313729,0.000313729
84,71620.4,0.46276,0.72504,1,0.62244,0.000297226,0.000297226,0.000297226
85,72423.8,0.44334,0.7178,1,0.61446,0.000280723,0.000280723,0.000280723
86,73233.1,0.43277,0.72793,1,0.6223,0.00026422,0.00026422,0.00026422
87,74036.6,0.43693,0.71201,1,0.62156,0.000247716,0.000247716,0.000247716
88,74845.6,0.41897,0.71635,1,0.65045,0.000231213,0.000231213,0.000231213
89,75657,0.43184,0.70622,1,0.66962,0.00021471,0.00021471,0.00021471
90,76466.9,0.42002,0.72069,1,0.65716,0.000198206,0.000198206,0.000198206
